State,Zip,County,Green,Yellow,Red
SC,29918,Hampton County,,,Red
SC,29921,Hampton County,,,Red
SC,29922,Hampton County,,,Red
SC,29923,Hampton County,,,Red
SC,29924,Hampton County,,,Red
SC,29932,Hampton County,,,Red
SC,29934,Hampton County,,,Red
SC,29944,Hampton County,,,Red
SC,29945,Hampton County,,,Red
SC,29511,Horry County,,Yellow,
SC,29526,Horry County,Green,,
SC,29527,Horry County,Green,,
SC,29528,Horry County,,,Red
SC,29544,Horry County,,,Red
SC,29545,Horry County,,,Red
SC,29566,Horry County,Green,,
SC,29568,Horry County,,Yellow,
SC,29569,Horry County,,Yellow,
SC,29572,Horry County,,Yellow,
SC,29575,Horry County,,Yellow,
SC,29576,Horry County,,Yellow,
SC,29577,Horry County,Green,,
SC,29578,Horry County,,,Red
SC,29579,Horry County,Green,,
SC,29581,Horry County,Green,,
SC,29582,Horry County,Green,,
SC,29588,Horry County,Green,,
SC,29201,Jasper County,,,Red
SC,29909,Jasper County,,,Red
SC,29910,Jasper County,,,Red
SC,29912,Jasper County,,,Red
SC,29916,Jasper County,,,Red
SC,29922,Jasper County,,,Red
SC,29927,Jasper County,Green,,
SC,29934,Jasper County,,,Red
SC,29936,Jasper County,,,Red
SC,29943,Jasper County,,,Red
SC,29944,Jasper County,,,Red
SC,29945,Jasper County,,,Red
SC,29009,Kershaw County,Green,,
SC,29010,Kershaw County,,Yellow,
SC,29020,Kershaw County,,,Red
SC,29032,Kershaw County,Green,,
SC,29045,Kershaw County,,Yellow,
SC,29058,Kershaw County,Green,,
SC,29067,Kershaw County,Green,,
SC,29074,Kershaw County,Green,,
SC,29078,Kershaw County,,Yellow,
SC,29128,Kershaw County,,,Red
SC,29130,Kershaw County,,Yellow,
SC,29175,Kershaw County,,,Red
SC,29718,Kershaw County,Green,,
SC,29058,Lancaster County,,,Red
SC,29067,Lancaster County,,,Red
