NC,Zip,County,Green,Yellow,Red
NC,27544,Granville County,,Yellow,
NC,27587,Granville County,,,Red
NC,27581,Granville County,,,Red
NC,27582,Granville County,Green,,
NC,27596,Granville County,,,Red
NC,27574,Granville County,,Yellow,
NC,28443,Pender County,Green,,
NC,28478,Pender County,,,Red
NC,28457,Pender County,,,Red
NC,28425,Pender County,Green,,
NC,28435,Pender County,,Yellow,
NC,28445,Pender County,,,Red
NC,28421,Pender County,,,Red
NC,28411,Pender County,,Yellow,
NC,28466,Pender County,,,Red
NC,28454,Pender County,,,Red
NC,28401,Pender County,Green,,
NC,28447,Pender County,,Yellow,
NC,28448,Pender County,,,Red
NC,28338,Richmond County,,,Red
NC,28379,Richmond County,,Yellow,
NC,28345,Richmond County,Green,,
NC,28363,Richmond County,Green,,
NC,28347,Richmond County,,,Red
NC,27306,Richmond County,,,Red
NC,28330,Richmond County,Green,,
NC,28367,Richmond County,,Yellow,
NC,27229,Richmond County,Green,,
NC,27281,Richmond County,,Yellow,
NC,28351,Richmond County,Green,,
NC,28746,Rutherford County,Green,,
NC,28043,Rutherford County,,,Red
NC,28040,Rutherford County,,,Red
NC,28018,Rutherford County,,Yellow,
NC,28114,Rutherford County,,Yellow,
NC,28139,Rutherford County,,,Red
NC,28160,Rutherford County,,,Red
NC,28167,Rutherford County,Green,,
NC,28020,Rutherford County,Green,,
NC,28076,Rutherford County,,,Red
NC,28024,Rutherford County,,Yellow,
NC,28720,Rutherford County,,Yellow,
NC,28019,Rutherford County,,,Red
NC,28756,Rutherford County,,Yellow,
NC,28074,Rutherford County,Green,,
NC,28752,Rutherford County,Green,,
NC,28711,Rutherford County,,Yellow,
NC,28681,Alexander County,Green,,
NC,28636,Alexander County,Green,,
NC,28601,Alexander County,,,Red
NC,28678,Alexander County,Green,,
NC,28689,Alexander County,,Yellow,
NC,28654,Alexander County,Green,,
NC,28630,Alexander County,Green,,
NC,28625,Alexander County,,,Red
NC,28752,Mcdowell County,Green,,
NC,28762,Mcdowell County,,Yellow,
NC,28761,Mcdowell County,Green,,
NC,28711,Mcdowell County,,Yellow,
NC,28777,Mcdowell County,,Yellow,
NC,28167,Mcdowell County,Green,,
NC,28655,Mcdowell County,,,Red
NC,28753,Madison County,Green,,
NC,28743,Madison County,,,Red
NC,28754,Madison County,,Yellow,
NC,28787,Madison County,,Yellow,
NC,28748,Madison County,,Yellow,
NC,28701,Madison County,,,Red
NC,27804,Nash County,,Yellow,
NC,27807,Nash County,,Yellow,
NC,27822,Nash County,,Yellow,
NC,27803,Nash County,Green,,
NC,27882,Nash County,,Yellow,
NC,27557,Nash County,Green,,
NC,27856,Nash County,,,Red
NC,27891,Nash County,,Yellow,
NC,27816,Nash County,,Yellow,
NC,27809,Nash County,Green,,
NC,27597,Nash County,,Yellow,
NC,27896,Nash County,Green,,
NC,27880,Nash County,,,Red
NC,27844,Nash County,,,Red
NC,28352,Scotland County,,Yellow,
NC,28396,Scotland County,,,Red
NC,28363,Scotland County,,,Red
NC,28343,Scotland County,,Yellow,
NC,28351,Scotland County,,,Red
NC,28364,Scotland County,,Yellow,
NC,28345,Scotland County,,,Red
NC,27028,Davie County,Green,,
NC,27006,Davie County,,,Red
NC,28634,Davie County,,Yellow,
NC,27055,Davie County,Green,,
NC,27014,Davie County,,Yellow,
NC,28625,Davie County,,Yellow,
NC,28369,Robeson County,,Yellow,
NC,28358,Robeson County,,,Red
NC,28384,Robeson County,,Yellow,
NC,28360,Robeson County,,Yellow,
NC,28371,Robeson County,Green,,
NC,28364,Robeson County,,,Red
NC,28340,Robeson County,,,Red
NC,28357,Robeson County,,Yellow,
NC,28386,Robeson County,Green,,
NC,28372,Robeson County,,Yellow,
NC,28383,Robeson County,Green,,
NC,28377,Robeson County,Green,,
NC,28352,Robeson County,,,Red
NC,28375,Robeson County,,Yellow,
NC,28362,Robeson County,Green,,
NC,28359,Robeson County,Green,,
NC,28604,Watauga County,,,Red
NC,28607,Watauga County,,,Red
NC,28605,Watauga County,Green,,
NC,28618,Watauga County,,Yellow,
NC,28679,Watauga County,,,Red
NC,28692,Watauga County,Green,,
NC,28698,Watauga County,Green,,
NC,28684,Watauga County,,Yellow,
NC,28622,Watauga County,,,Red
