id,zpid,state,county,address,city,zipcode,price,acres,price_per_acre,days_on_market,score,status,roi_pct,net_profit,red_flags
2915,457312205,TX,Bandera County,"1 Timbercreek Road LOT 44, Pipe Creek, TX, 78063",Pipe Creek,78063,113680.0,5.62,20227.76,147,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2797,457673574,TX,Edwards County,"0 W County Rd #315, Rocksprings, TX, 78880",Rocksprings,78880,119000.0,26.1,4559.39,134,10,reject,-58.63,-69767.62,"Projected profit is estimated, ROI below threshold"
2838,2060789197,TX,Edwards County,"County Road 310, Rocksprings, TX, 78880",Rocksprings,78880,129040.0,32.26,4000.0,177,10,reject,-53.33,-68810.75,"Projected profit is estimated, ROI below threshold"
2832,459663740,TX,Tarrant County,"5 Comanche Hills Dr, Comanche, TX, 76442",Comanche,76442,140500.0,10.02,14021.96,101,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2850,458187879,TX,Bexar County,"26013 Sand Cliff LOT 136, San Antonio, TX, 78264",San Antonio,78264,149000.0,6.004,24816.79,114,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2815,458041653,TX,Hill County,"County Road 4365, Milford, TX, 76670",Milford,76670,150000.0,10.01,14985.01,119,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2971,193855098,TX,Atascosa County,"8449 Coughran Rd, Pleasanton, TX, 78064",Pleasanton,78064,152000.0,5.0,30400.0,0,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2810,447389529,TX,Medina County,"0 County Road 243 LOT 93, Hondo, TX, 78861",Hondo,78861,165000.0,10.0,16500.0,105,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2933,457843262,TX,Falls County,"State Highway 53, Rosebud, TX, 76570",Rosebud,76570,171150.0,23.1,7409.09,128,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2875,456644071,TX,Anderson County,"TRACT Three County Rd #379, Palestine, TX, 75801",Palestine,75801,174900.0,26.88,6506.7,177,10,reject,-43.32,-75762.5,"Projected profit is estimated, ROI below threshold"
2961,78933335,TX,Wise County,"204 N Cheyenne Trl, Springtown, TX, 76082",Springtown,76082,175000.0,5.0,35000.0,122,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2883,457250749,TX,Atascosa County,"TBD, LOT 17 Woodland Hills LOT 17, Poteet, TX, 78065",Poteet,78065,181000.0,5.24,34541.98,150,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2846,455569381,TX,Bexar County,"10.36 ACRES New Sulphur Springs Road LOT MULTI, San Antonio, TX, 78263",San Antonio,78263,185000.0,10.36,17857.14,144,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
2942,450737634,TX,Palo Pinto County,"Mountain Dr, Graford, TX, 76449",Graford,76449,194602.0,23.17,8398.88,177,10,reject,0.0,0.0,"Projected profit is estimated, ROI below threshold"
